
Epoch: 0 | MSE Train Loss: 0.9977920055389404 | MSE Test Loss: 2.1594371795654297
Epoch: 10 | MSE Train Loss: 0.7825131416320801 | MSE Test Loss: 0.7850826382637024
Epoch: 20 | MSE Train Loss: 0.5555580854415894 | MSE Test Loss: 0.5661677718162537
Epoch: 30 | MSE Train Loss: 0.49227002263069153 | MSE Test Loss: 0.510731041431427
Epoch: 40 | MSE Train Loss: 0.46689456701278687 | MSE Test Loss: 0.4881352484226227
Epoch: 50 | MSE Train Loss: 0.4460453987121582 | MSE Test Loss: 0.46963608264923096
Epoch: 60 | MSE Train Loss: 0.43275853991508484 | MSE Test Loss: 0.45922642946243286
Epoch: 70 | MSE Train Loss: 0.424085408449173 | MSE Test Loss: 0.4518449306488037
Epoch: 80 | MSE Train Loss: 0.4189260005950928 | MSE Test Loss: 0.44661813974380493
Epoch: 90 | MSE Train Loss: 0.41638708114624023 | MSE Test Loss: 0.4515079855918884
Epoch: 100 | MSE Train Loss: 0.41171571612358093 | MSE Test Loss: 0.43979474902153015
Epoch: 110 | MSE Train Loss: 0.4056760370731354 | MSE Test Loss: 0.4391006529331207
Epoch: 120 | MSE Train Loss: 0.40266215801239014 | MSE Test Loss: 0.436625212430954
Epoch: 130 | MSE Train Loss: 0.39942121505737305 | MSE Test Loss: 0.4356147348880768
Epoch: 140 | MSE Train Loss: 0.4007905423641205 | MSE Test Loss: 0.4429796040058136
Epoch: 150 | MSE Train Loss: 0.3954836428165436 | MSE Test Loss: 0.4368535280227661
Epoch: 160 | MSE Train Loss: 0.392505407333374 | MSE Test Loss: 0.43405187129974365
Epoch: 170 | MSE Train Loss: 0.391940176486969 | MSE Test Loss: 0.4355742335319519
Epoch: 180 | MSE Train Loss: 0.3946366310119629 | MSE Test Loss: 0.44290784001350403
Epoch: 190 | MSE Train Loss: 0.38660550117492676 | MSE Test Loss: 0.4365383982658386
