
Epoch: 0 | MSE Train Loss: 1.0082379579544067 | MSE Test Loss: 17.93025779724121
Epoch: 10 | MSE Train Loss: 0.8888500332832336 | MSE Test Loss: 0.8756200075149536
Epoch: 20 | MSE Train Loss: 0.6327612400054932 | MSE Test Loss: 0.6396462321281433
Epoch: 30 | MSE Train Loss: 0.5503532290458679 | MSE Test Loss: 0.5649186372756958
Epoch: 40 | MSE Train Loss: 0.5168065428733826 | MSE Test Loss: 0.5364832282066345
Epoch: 50 | MSE Train Loss: 0.4839531183242798 | MSE Test Loss: 0.5058425068855286
Epoch: 60 | MSE Train Loss: 0.4660501182079315 | MSE Test Loss: 0.4861500561237335
Epoch: 70 | MSE Train Loss: 0.4520075023174286 | MSE Test Loss: 0.4752544164657593
Epoch: 80 | MSE Train Loss: 0.44221213459968567 | MSE Test Loss: 0.4688221216201782
Epoch: 90 | MSE Train Loss: 0.4362347424030304 | MSE Test Loss: 0.46550634503364563
Epoch: 0 | MSE Train Loss: 1.0312403440475464 | MSE Test Loss: 17.488086700439453
Epoch: 10 | MSE Train Loss: 0.7403365969657898 | MSE Test Loss: 0.7490720152854919
Epoch: 20 | MSE Train Loss: 0.5863026976585388 | MSE Test Loss: 0.5879150629043579
Epoch: 30 | MSE Train Loss: 0.4977782070636749 | MSE Test Loss: 0.5180734992027283
Epoch: 40 | MSE Train Loss: 0.4707110822200775 | MSE Test Loss: 0.491087406873703
Epoch: 50 | MSE Train Loss: 0.44975072145462036 | MSE Test Loss: 0.47317102551460266
Epoch: 60 | MSE Train Loss: 0.43737441301345825 | MSE Test Loss: 0.4607807695865631
Epoch: 70 | MSE Train Loss: 0.42906177043914795 | MSE Test Loss: 0.4525144398212433
Epoch: 80 | MSE Train Loss: 0.4222710132598877 | MSE Test Loss: 0.44744187593460083
Epoch: 90 | MSE Train Loss: 0.4187493622303009 | MSE Test Loss: 0.44590285420417786
Epoch: 0 | MSE Train Loss: 1.0153290033340454 | MSE Test Loss: 14.377096176147461
Epoch: 10 | MSE Train Loss: 0.8748422265052795 | MSE Test Loss: 0.8438191413879395
Epoch: 20 | MSE Train Loss: 0.655256986618042 | MSE Test Loss: 0.6295485496520996
Epoch: 30 | MSE Train Loss: 0.5565773248672485 | MSE Test Loss: 0.5719110369682312
Epoch: 40 | MSE Train Loss: 0.4996066689491272 | MSE Test Loss: 0.5202709436416626
Epoch: 50 | MSE Train Loss: 0.4784511625766754 | MSE Test Loss: 0.5018128156661987
Epoch: 60 | MSE Train Loss: 0.4689968526363373 | MSE Test Loss: 0.49067065119743347
Epoch: 70 | MSE Train Loss: 0.4502438008785248 | MSE Test Loss: 0.47753700613975525
Epoch: 80 | MSE Train Loss: 0.4408808648586273 | MSE Test Loss: 0.46655067801475525
Epoch: 90 | MSE Train Loss: 0.4343918561935425 | MSE Test Loss: 0.4609392583370209
Epoch: 0 | MSE Train Loss: 1.000885009765625 | MSE Test Loss: 15.813413619995117
Epoch: 10 | MSE Train Loss: 0.8491060733795166 | MSE Test Loss: 0.7987319827079773
Epoch: 20 | MSE Train Loss: 0.5874349474906921 | MSE Test Loss: 0.6012272834777832
Epoch: 30 | MSE Train Loss: 0.5216444730758667 | MSE Test Loss: 0.5308506488800049
Epoch: 40 | MSE Train Loss: 0.47625213861465454 | MSE Test Loss: 0.4981946349143982
Epoch: 50 | MSE Train Loss: 0.45782482624053955 | MSE Test Loss: 0.4816233217716217
Epoch: 60 | MSE Train Loss: 0.44485417008399963 | MSE Test Loss: 0.4715433716773987
Epoch: 70 | MSE Train Loss: 0.4507005214691162 | MSE Test Loss: 0.4734501242637634
Epoch: 80 | MSE Train Loss: 0.4296078383922577 | MSE Test Loss: 0.45824483036994934
Epoch: 90 | MSE Train Loss: 0.4237859845161438 | MSE Test Loss: 0.4512539803981781
