
1 SMALL
Epoch: 0 | MSE Train Loss: 1.0121041536331177 | MSE Test Loss: 17.550983428955078
Epoch: 10 | MSE Train Loss: 0.9053587913513184 | MSE Test Loss: 0.8433228135108948
Epoch: 20 | MSE Train Loss: 0.5866959095001221 | MSE Test Loss: 0.5929568409919739
Epoch: 30 | MSE Train Loss: 0.5090503692626953 | MSE Test Loss: 0.5185651779174805
Epoch: 40 | MSE Train Loss: 0.4732488691806793 | MSE Test Loss: 0.49062660336494446
Epoch: 50 | MSE Train Loss: 0.45464110374450684 | MSE Test Loss: 0.4725782573223114
Epoch: 60 | MSE Train Loss: 0.4404512047767639 | MSE Test Loss: 0.45994749665260315
Epoch: 70 | MSE Train Loss: 0.4313056766986847 | MSE Test Loss: 0.45093604922294617
Epoch: 80 | MSE Train Loss: 0.42540913820266724 | MSE Test Loss: 0.4464683532714844
Epoch: 90 | MSE Train Loss: 0.42096248269081116 | MSE Test Loss: 0.4433748424053192
Epoch: 100 | MSE Train Loss: 0.41821858286857605 | MSE Test Loss: 0.4409275949001312
Epoch: 110 | MSE Train Loss: 0.4148328900337219 | MSE Test Loss: 0.439262717962265
Epoch: 120 | MSE Train Loss: 0.41247794032096863 | MSE Test Loss: 0.4376891851425171
Epoch: 130 | MSE Train Loss: 0.41030046343803406 | MSE Test Loss: 0.4366813004016876
Epoch: 140 | MSE Train Loss: 0.4084492325782776 | MSE Test Loss: 0.43623456358909607
Epoch: 150 | MSE Train Loss: 0.4077712595462799 | MSE Test Loss: 0.43574658036231995
Epoch: 160 | MSE Train Loss: 0.4055405557155609 | MSE Test Loss: 0.4346705377101898
Epoch: 170 | MSE Train Loss: 0.4045995771884918 | MSE Test Loss: 0.43625402450561523
Epoch: 180 | MSE Train Loss: 0.40388208627700806 | MSE Test Loss: 0.4343194365501404
Epoch: 190 | MSE Train Loss: 0.40169668197631836 | MSE Test Loss: 0.43412649631500244
1 BIG
Epoch: 0 | MSE Train Loss: 0.9962758421897888 | MSE Test Loss: 11.98232650756836
Epoch: 10 | MSE Train Loss: 0.8509549498558044 | MSE Test Loss: 0.7715327739715576
Epoch: 20 | MSE Train Loss: 0.5803672075271606 | MSE Test Loss: 0.5922027826309204
Epoch: 30 | MSE Train Loss: 0.5002828240394592 | MSE Test Loss: 0.5179831981658936
Epoch: 40 | MSE Train Loss: 0.46429863572120667 | MSE Test Loss: 0.4852987229824066
Epoch: 50 | MSE Train Loss: 0.4467928409576416 | MSE Test Loss: 0.4697422683238983
Epoch: 60 | MSE Train Loss: 0.44058993458747864 | MSE Test Loss: 0.46579256653785706
Epoch: 70 | MSE Train Loss: 0.42758283019065857 | MSE Test Loss: 0.45430803298950195
Epoch: 80 | MSE Train Loss: 0.41944652795791626 | MSE Test Loss: 0.44500961899757385
Epoch: 90 | MSE Train Loss: 0.4143373668193817 | MSE Test Loss: 0.44006577134132385
Epoch: 100 | MSE Train Loss: 0.410470575094223 | MSE Test Loss: 0.43745729327201843
Epoch: 110 | MSE Train Loss: 0.4089202284812927 | MSE Test Loss: 0.43753302097320557
Epoch: 120 | MSE Train Loss: 0.4059499502182007 | MSE Test Loss: 0.4352329969406128
Epoch: 130 | MSE Train Loss: 0.4049135744571686 | MSE Test Loss: 0.4366549551486969
Epoch: 140 | MSE Train Loss: 0.40084168314933777 | MSE Test Loss: 0.43277764320373535
Epoch: 150 | MSE Train Loss: 0.39838454127311707 | MSE Test Loss: 0.432705819606781
Epoch: 160 | MSE Train Loss: 0.39611271023750305 | MSE Test Loss: 0.4322602450847626
Epoch: 170 | MSE Train Loss: 0.4007076919078827 | MSE Test Loss: 0.43401166796684265
Epoch: 180 | MSE Train Loss: 0.3931436538696289 | MSE Test Loss: 0.43421754240989685
Epoch: 190 | MSE Train Loss: 0.391295462846756 | MSE Test Loss: 0.4322435259819031
2 SMALL
Epoch: 0 | MSE Train Loss: 1.0097731351852417 | MSE Test Loss: 18.751386642456055
Epoch: 10 | MSE Train Loss: 0.7862578630447388 | MSE Test Loss: 0.7564982771873474
Epoch: 20 | MSE Train Loss: 0.5853907465934753 | MSE Test Loss: 0.5764223337173462
Epoch: 30 | MSE Train Loss: 0.5147895216941833 | MSE Test Loss: 0.529746413230896
Epoch: 40 | MSE Train Loss: 0.47221046686172485 | MSE Test Loss: 0.4907250702381134
Epoch: 50 | MSE Train Loss: 0.45194464921951294 | MSE Test Loss: 0.47267255187034607
