
Epoch: 0 | MSE Train Loss: 1.000624418258667 | MSE Test Loss: 18.232194900512695
Epoch: 10 | MSE Train Loss: 0.8013186454772949 | MSE Test Loss: 0.7531003952026367
Epoch: 20 | MSE Train Loss: 0.5792942643165588 | MSE Test Loss: 0.5745031237602234
Epoch: 30 | MSE Train Loss: 0.5060036182403564 | MSE Test Loss: 0.5184372663497925
Epoch: 40 | MSE Train Loss: 0.4683372676372528 | MSE Test Loss: 0.48741891980171204
Epoch: 50 | MSE Train Loss: 0.4496762752532959 | MSE Test Loss: 0.4694615602493286
Epoch: 60 | MSE Train Loss: 0.43630409240722656 | MSE Test Loss: 0.45759209990501404
Epoch: 70 | MSE Train Loss: 0.42739757895469666 | MSE Test Loss: 0.4511922299861908
Epoch: 80 | MSE Train Loss: 0.420975923538208 | MSE Test Loss: 0.44641897082328796
Epoch: 90 | MSE Train Loss: 0.4159216582775116 | MSE Test Loss: 0.4432631731033325
Epoch: 100 | MSE Train Loss: 0.41153484582901 | MSE Test Loss: 0.44005608558654785
Epoch: 110 | MSE Train Loss: 0.40853258967399597 | MSE Test Loss: 0.43839702010154724
Epoch: 120 | MSE Train Loss: 0.40481340885162354 | MSE Test Loss: 0.4366089999675751
Epoch: 130 | MSE Train Loss: 0.40180283784866333 | MSE Test Loss: 0.43505266308784485
Epoch: 140 | MSE Train Loss: 0.3993000388145447 | MSE Test Loss: 0.4339950978755951
Epoch: 150 | MSE Train Loss: 0.397029310464859 | MSE Test Loss: 0.43395304679870605
Epoch: 160 | MSE Train Loss: 0.39636918902397156 | MSE Test Loss: 0.43502241373062134
Epoch: 170 | MSE Train Loss: 0.393432080745697 | MSE Test Loss: 0.4321098327636719
Epoch: 180 | MSE Train Loss: 0.3908619284629822 | MSE Test Loss: 0.4326747953891754
Epoch: 190 | MSE Train Loss: 0.39337921142578125 | MSE Test Loss: 0.43387696146965027
Epoch: 200 | MSE Train Loss: 0.38873720169067383 | MSE Test Loss: 0.4315561354160309
Epoch: 210 | MSE Train Loss: 0.3855462968349457 | MSE Test Loss: 0.43233680725097656
Epoch: 220 | MSE Train Loss: 0.3887484669685364 | MSE Test Loss: 0.43677467107772827
Epoch: 230 | MSE Train Loss: 0.3842964768409729 | MSE Test Loss: 0.43393948674201965
Epoch: 240 | MSE Train Loss: 0.3838646113872528 | MSE Test Loss: 0.43170061707496643
Epoch: 250 | MSE Train Loss: 0.38059040904045105 | MSE Test Loss: 0.43148308992385864
Epoch: 260 | MSE Train Loss: 0.3802627623081207 | MSE Test Loss: 0.4336283504962921
