
Epoch: 0 | MSE Train Loss: 0.9950405359268188 | MSE Test Loss: 2.9039676189422607
Epoch: 10 | MSE Train Loss: 0.5598446130752563 | MSE Test Loss: 0.5392751097679138
Epoch: 20 | MSE Train Loss: 0.4794588088989258 | MSE Test Loss: 0.47033455967903137
Epoch: 30 | MSE Train Loss: 0.4411414563655853 | MSE Test Loss: 0.4391351342201233
Epoch: 40 | MSE Train Loss: 0.42402613162994385 | MSE Test Loss: 0.4236782491207123
Epoch: 50 | MSE Train Loss: 0.41319161653518677 | MSE Test Loss: 0.4156753122806549
Epoch: 60 | MSE Train Loss: 0.40560731291770935 | MSE Test Loss: 0.41037261486053467
Epoch: 70 | MSE Train Loss: 0.3996814489364624 | MSE Test Loss: 0.4066242575645447
Epoch: 80 | MSE Train Loss: 0.3945813775062561 | MSE Test Loss: 0.404035359621048
Epoch: 90 | MSE Train Loss: 0.39539310336112976 | MSE Test Loss: 0.4012736976146698
Epoch: 100 | MSE Train Loss: 0.38658782839775085 | MSE Test Loss: 0.40070316195487976
Epoch: 110 | MSE Train Loss: 0.38308796286582947 | MSE Test Loss: 0.3976764976978302
Epoch: 120 | MSE Train Loss: 0.3791607618331909 | MSE Test Loss: 0.39647796750068665
Epoch: 130 | MSE Train Loss: 0.4022506773471832 | MSE Test Loss: 0.4250774383544922
Epoch: 140 | MSE Train Loss: 0.375548779964447 | MSE Test Loss: 0.39892324805259705
Epoch: 150 | MSE Train Loss: 0.3700055778026581 | MSE Test Loss: 0.3945745527744293
Epoch: 160 | MSE Train Loss: 0.36620211601257324 | MSE Test Loss: 0.3910907804965973
Epoch: 170 | MSE Train Loss: 0.37438082695007324 | MSE Test Loss: 0.4161248505115509
Epoch: 180 | MSE Train Loss: 0.36091166734695435 | MSE Test Loss: 0.39223942160606384
Epoch: 190 | MSE Train Loss: 0.35892072319984436 | MSE Test Loss: 0.38816627860069275
Epoch: 200 | MSE Train Loss: 0.3533933460712433 | MSE Test Loss: 0.3969457745552063
Epoch: 210 | MSE Train Loss: 0.3540821671485901 | MSE Test Loss: 0.385580450296402
Epoch: 220 | MSE Train Loss: 0.3466315269470215 | MSE Test Loss: 0.3836641311645508
Epoch: 230 | MSE Train Loss: 0.40535637736320496 | MSE Test Loss: 0.4096221625804901
Epoch: 240 | MSE Train Loss: 0.34219422936439514 | MSE Test Loss: 0.3940874934196472
Epoch: 250 | MSE Train Loss: 0.3379734754562378 | MSE Test Loss: 0.383955717086792
Epoch: 260 | MSE Train Loss: 0.3361010253429413 | MSE Test Loss: 0.3783043324947357
Epoch: 270 | MSE Train Loss: 0.3330799341201782 | MSE Test Loss: 0.38407763838768005
Epoch: 280 | MSE Train Loss: 0.32790425419807434 | MSE Test Loss: 0.3763927221298218
Epoch: 290 | MSE Train Loss: 0.3596850633621216 | MSE Test Loss: 0.3865944445133209
Epoch: 0 | MSE Train Loss: 1.0239001512527466 | MSE Test Loss: 2.9471592903137207
Epoch: 10 | MSE Train Loss: 0.5313555002212524 | MSE Test Loss: 0.5436445474624634
Epoch: 20 | MSE Train Loss: 0.4693036675453186 | MSE Test Loss: 0.48259279131889343
Epoch: 30 | MSE Train Loss: 0.4322248697280884 | MSE Test Loss: 0.45217978954315186
Epoch: 40 | MSE Train Loss: 0.4167705178260803 | MSE Test Loss: 0.43898046016693115
Epoch: 50 | MSE Train Loss: 0.40704652667045593 | MSE Test Loss: 0.43031805753707886
Epoch: 60 | MSE Train Loss: 0.3998873829841614 | MSE Test Loss: 0.4248778223991394
Epoch: 70 | MSE Train Loss: 0.39372020959854126 | MSE Test Loss: 0.4201986491680145
Epoch: 80 | MSE Train Loss: 0.4236307442188263 | MSE Test Loss: 0.4204208552837372
Epoch: 90 | MSE Train Loss: 0.39491310715675354 | MSE Test Loss: 0.41565898060798645
Epoch: 100 | MSE Train Loss: 0.3825099468231201 | MSE Test Loss: 0.41483503580093384
Epoch: 110 | MSE Train Loss: 0.3783172070980072 | MSE Test Loss: 0.4115667939186096
Epoch: 120 | MSE Train Loss: 0.37404927611351013 | MSE Test Loss: 0.409707635641098
Epoch: 130 | MSE Train Loss: 0.36978644132614136 | MSE Test Loss: 0.40782177448272705
Epoch: 140 | MSE Train Loss: 0.39645472168922424 | MSE Test Loss: 0.43307140469551086
Epoch: 150 | MSE Train Loss: 0.37189429998397827 | MSE Test Loss: 0.40831121802330017
Epoch: 160 | MSE Train Loss: 0.3627100884914398 | MSE Test Loss: 0.4036637246608734
Epoch: 170 | MSE Train Loss: 0.35616472363471985 | MSE Test Loss: 0.40260323882102966
Epoch: 180 | MSE Train Loss: 0.35439106822013855 | MSE Test Loss: 0.40644335746765137
Epoch: 190 | MSE Train Loss: 0.35552331805229187 | MSE Test Loss: 0.4023788869380951
Epoch: 200 | MSE Train Loss: 0.3501371741294861 | MSE Test Loss: 0.40137678384780884
Epoch: 210 | MSE Train Loss: 0.349944531917572 | MSE Test Loss: 0.4058011770248413
Epoch: 220 | MSE Train Loss: 0.34409767389297485 | MSE Test Loss: 0.3993452191352844
Epoch: 230 | MSE Train Loss: 0.33653873205184937 | MSE Test Loss: 0.3986983001232147
Epoch: 240 | MSE Train Loss: 0.35596251487731934 | MSE Test Loss: 0.41026851534843445
Epoch: 250 | MSE Train Loss: 0.33739036321640015 | MSE Test Loss: 0.39338937401771545
