
Epoch: 0 | MSE Train Loss: 1.0221240520477295 | MSE Test Loss: 2.3012008666992188
Epoch: 10 | MSE Train Loss: 0.5209218263626099 | MSE Test Loss: 0.5282217264175415
Epoch: 20 | MSE Train Loss: 0.4495515525341034 | MSE Test Loss: 0.4678315222263336
Epoch: 30 | MSE Train Loss: 0.4197184145450592 | MSE Test Loss: 0.4381687045097351
Epoch: 40 | MSE Train Loss: 0.4013836979866028 | MSE Test Loss: 0.42950892448425293
Epoch: 50 | MSE Train Loss: 0.3882574141025543 | MSE Test Loss: 0.4248299300670624
Epoch: 60 | MSE Train Loss: 0.3776725232601166 | MSE Test Loss: 0.42294228076934814
Epoch: 70 | MSE Train Loss: 0.3872642517089844 | MSE Test Loss: 0.46665987372398376
Epoch: 80 | MSE Train Loss: 0.36252567172050476 | MSE Test Loss: 0.43489909172058105
Epoch: 90 | MSE Train Loss: 0.3594127893447876 | MSE Test Loss: 0.42377805709838867
Epoch: 100 | MSE Train Loss: 0.347968190908432 | MSE Test Loss: 0.4259483218193054
Epoch: 110 | MSE Train Loss: 0.3380522131919861 | MSE Test Loss: 0.42850616574287415
Epoch: 120 | MSE Train Loss: 0.3319491446018219 | MSE Test Loss: 0.43790221214294434
Epoch: 130 | MSE Train Loss: 0.3335196375846863 | MSE Test Loss: 0.4358576238155365
Epoch: 140 | MSE Train Loss: 0.3183046877384186 | MSE Test Loss: 0.4366219937801361
Epoch: 150 | MSE Train Loss: 0.3104310929775238 | MSE Test Loss: 0.44931933283805847
Epoch: 160 | MSE Train Loss: 0.3027598559856415 | MSE Test Loss: 0.4386357069015503
Epoch: 170 | MSE Train Loss: 0.293761670589447 | MSE Test Loss: 0.4440097510814667
Epoch: 180 | MSE Train Loss: 0.29752177000045776 | MSE Test Loss: 0.4534379839897156
Epoch: 190 | MSE Train Loss: 0.29301443696022034 | MSE Test Loss: 0.45558181405067444
Epoch: 200 | MSE Train Loss: 0.280845046043396 | MSE Test Loss: 0.46003457903862
Epoch: 210 | MSE Train Loss: 0.27437955141067505 | MSE Test Loss: 0.4626685380935669
Epoch: 220 | MSE Train Loss: 0.26356232166290283 | MSE Test Loss: 0.45998066663742065
Epoch: 230 | MSE Train Loss: 0.28192853927612305 | MSE Test Loss: 0.4719870984554291
Epoch: 240 | MSE Train Loss: 0.2669287919998169 | MSE Test Loss: 0.46656090021133423
Epoch: 250 | MSE Train Loss: 0.256154328584671 | MSE Test Loss: 0.46080854535102844
Epoch: 260 | MSE Train Loss: 0.24556955695152283 | MSE Test Loss: 0.4689026474952698
Epoch: 270 | MSE Train Loss: 0.2696384787559509 | MSE Test Loss: 0.4653017520904541
Epoch: 280 | MSE Train Loss: 0.2442123144865036 | MSE Test Loss: 0.46636900305747986
Epoch: 290 | MSE Train Loss: 0.23678885400295258 | MSE Test Loss: 0.47316980361938477
Epoch: 0 | MSE Train Loss: 0.9879045486450195 | MSE Test Loss: 2.5279338359832764
Epoch: 10 | MSE Train Loss: 0.5079119801521301 | MSE Test Loss: 0.5279966592788696
Epoch: 20 | MSE Train Loss: 0.44500911235809326 | MSE Test Loss: 0.45937761664390564
Epoch: 30 | MSE Train Loss: 0.4130934178829193 | MSE Test Loss: 0.43704167008399963
Epoch: 40 | MSE Train Loss: 0.3961568772792816 | MSE Test Loss: 0.42870765924453735
Epoch: 50 | MSE Train Loss: 0.38362452387809753 | MSE Test Loss: 0.4253857135772705
Epoch: 60 | MSE Train Loss: 0.3742552399635315 | MSE Test Loss: 0.42880603671073914
Epoch: 70 | MSE Train Loss: 0.36806830763816833 | MSE Test Loss: 0.42888522148132324
Epoch: 80 | MSE Train Loss: 0.35915783047676086 | MSE Test Loss: 0.42737966775894165
Epoch: 90 | MSE Train Loss: 0.37717026472091675 | MSE Test Loss: 0.42619362473487854
Epoch: 100 | MSE Train Loss: 0.35453352332115173 | MSE Test Loss: 0.4286017119884491
Epoch: 110 | MSE Train Loss: 0.34053975343704224 | MSE Test Loss: 0.4303273558616638
Epoch: 120 | MSE Train Loss: 0.34243977069854736 | MSE Test Loss: 0.4367114007472992
Epoch: 130 | MSE Train Loss: 0.32557499408721924 | MSE Test Loss: 0.43339118361473083
Epoch: 140 | MSE Train Loss: 0.36158353090286255 | MSE Test Loss: 0.5422148704528809
Epoch: 150 | MSE Train Loss: 0.32180067896842957 | MSE Test Loss: 0.45264676213264465
Epoch: 160 | MSE Train Loss: 0.3110249936580658 | MSE Test Loss: 0.44393390417099
Epoch: 170 | MSE Train Loss: 0.3048289120197296 | MSE Test Loss: 0.44030821323394775
Epoch: 180 | MSE Train Loss: 0.40213486552238464 | MSE Test Loss: 0.5058963894844055
Epoch: 190 | MSE Train Loss: 0.3146194517612457 | MSE Test Loss: 0.44637301564216614
Epoch: 200 | MSE Train Loss: 0.2914298474788666 | MSE Test Loss: 0.4486373960971832
Epoch: 210 | MSE Train Loss: 0.2814256250858307 | MSE Test Loss: 0.45229828357696533
Epoch: 220 | MSE Train Loss: 0.3152177929878235 | MSE Test Loss: 0.46260979771614075
Epoch: 230 | MSE Train Loss: 0.27642419934272766 | MSE Test Loss: 0.4589129388332367
Epoch: 240 | MSE Train Loss: 0.2657072842121124 | MSE Test Loss: 0.4585454761981964
Epoch: 250 | MSE Train Loss: 0.2591715455055237 | MSE Test Loss: 0.4611387550830841
Epoch: 260 | MSE Train Loss: 0.3038667142391205 | MSE Test Loss: 0.5106518268585205
Epoch: 270 | MSE Train Loss: 0.259778767824173 | MSE Test Loss: 0.46822962164878845
Epoch: 280 | MSE Train Loss: 0.24432910978794098 | MSE Test Loss: 0.468492329120636
Epoch: 290 | MSE Train Loss: 0.2703268826007843 | MSE Test Loss: 0.49868592619895935
Epoch: 0 | MSE Train Loss: 1.0162047147750854 | MSE Test Loss: 2.415623188018799
Epoch: 10 | MSE Train Loss: 0.525454580783844 | MSE Test Loss: 0.5264061689376831
Epoch: 20 | MSE Train Loss: 0.4593626856803894 | MSE Test Loss: 0.4633583426475525
Epoch: 30 | MSE Train Loss: 0.42717862129211426 | MSE Test Loss: 0.4381875991821289
Epoch: 40 | MSE Train Loss: 0.4083130955696106 | MSE Test Loss: 0.42718014121055603
Epoch: 50 | MSE Train Loss: 0.39491790533065796 | MSE Test Loss: 0.42171987891197205
Epoch: 60 | MSE Train Loss: 0.3883635103702545 | MSE Test Loss: 0.4329359829425812
Epoch: 70 | MSE Train Loss: 0.380469411611557 | MSE Test Loss: 0.4209146201610565
