
Epoch: 0 | MSE Train Loss: 1.027543306350708 | MSE Test Loss: 0.8695902824401855
Epoch: 10 | MSE Train Loss: 0.5010818839073181 | MSE Test Loss: 0.4960857331752777
Epoch: 20 | MSE Train Loss: 0.44831299781799316 | MSE Test Loss: 0.4499445855617523
Epoch: 30 | MSE Train Loss: 0.4298325479030609 | MSE Test Loss: 0.43694135546684265
Epoch: 40 | MSE Train Loss: 0.4185571074485779 | MSE Test Loss: 0.42866790294647217
Epoch: 50 | MSE Train Loss: 0.41007304191589355 | MSE Test Loss: 0.42401590943336487
Epoch: 60 | MSE Train Loss: 0.40306025743484497 | MSE Test Loss: 0.4210457503795624
Epoch: 70 | MSE Train Loss: 0.39696481823921204 | MSE Test Loss: 0.41961997747421265
Epoch: 80 | MSE Train Loss: 0.3913990557193756 | MSE Test Loss: 0.4188273847103119
Epoch: 90 | MSE Train Loss: 0.38600295782089233 | MSE Test Loss: 0.4185037910938263
Epoch: 100 | MSE Train Loss: 0.3804881274700165 | MSE Test Loss: 0.41854578256607056
Epoch: 110 | MSE Train Loss: 0.3747740089893341 | MSE Test Loss: 0.41889217495918274
Epoch: 120 | MSE Train Loss: 0.3700237572193146 | MSE Test Loss: 0.4206898808479309
Epoch: 130 | MSE Train Loss: 0.36419230699539185 | MSE Test Loss: 0.42023715376853943
Epoch: 140 | MSE Train Loss: 0.35890892148017883 | MSE Test Loss: 0.4215586185455322
Epoch: 150 | MSE Train Loss: 0.3555159866809845 | MSE Test Loss: 0.42586836218833923
Epoch: 160 | MSE Train Loss: 0.3480863869190216 | MSE Test Loss: 0.4250504970550537
Epoch: 170 | MSE Train Loss: 0.3428286015987396 | MSE Test Loss: 0.4250524342060089
Epoch: 180 | MSE Train Loss: 0.33777177333831787 | MSE Test Loss: 0.4267819821834564
Epoch: 190 | MSE Train Loss: 0.3387882113456726 | MSE Test Loss: 0.43114134669303894
Epoch: 0 | MSE Train Loss: 0.9931424856185913 | MSE Test Loss: 0.8466590642929077
Epoch: 10 | MSE Train Loss: 0.47508516907691956 | MSE Test Loss: 0.49194303154945374
Epoch: 20 | MSE Train Loss: 0.43066567182540894 | MSE Test Loss: 0.4492826759815216
Epoch: 30 | MSE Train Loss: 0.41342976689338684 | MSE Test Loss: 0.4384472966194153
Epoch: 40 | MSE Train Loss: 0.4019724726676941 | MSE Test Loss: 0.4313937723636627
Epoch: 50 | MSE Train Loss: 0.39330700039863586 | MSE Test Loss: 0.4270513653755188
Epoch: 60 | MSE Train Loss: 0.38619264960289 | MSE Test Loss: 0.42459630966186523
Epoch: 70 | MSE Train Loss: 0.3799547553062439 | MSE Test Loss: 0.4228226840496063
Epoch: 80 | MSE Train Loss: 0.3743318021297455 | MSE Test Loss: 0.4220176637172699
Epoch: 90 | MSE Train Loss: 0.3688950538635254 | MSE Test Loss: 0.42187219858169556
Epoch: 100 | MSE Train Loss: 0.3639846444129944 | MSE Test Loss: 0.4220384657382965
Epoch: 110 | MSE Train Loss: 0.3586127758026123 | MSE Test Loss: 0.4224950671195984
Epoch: 120 | MSE Train Loss: 0.3534989655017853 | MSE Test Loss: 0.4239066541194916
Epoch: 130 | MSE Train Loss: 0.3484243154525757 | MSE Test Loss: 0.42405956983566284
Epoch: 140 | MSE Train Loss: 0.3433719873428345 | MSE Test Loss: 0.4253060221672058
Epoch: 150 | MSE Train Loss: 0.3392561376094818 | MSE Test Loss: 0.4271024763584137
Epoch: 160 | MSE Train Loss: 0.33369749784469604 | MSE Test Loss: 0.4288415014743805
Epoch: 170 | MSE Train Loss: 0.3314538896083832 | MSE Test Loss: 0.4293394088745117
